route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability,state,id
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 17162,eGARUDA,13:30,06h 20m,19:50,3.3,533.0,34,Andhra Pradesh,63
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40331,Super Luxury (Non AC Seater 2+2 Push Back),13:40,04h 50m,18:30,2.6,396.0,33,Andhra Pradesh,64
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1600,RAJDHANI (A.C. Semi Sleeper),14:00,05h 40m,19:40,2.3,480.0,36,Andhra Pradesh,65
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40362,Super Luxury (Non AC Seater 2+2 Push Back),14:20,06h 10m,20:30,3.5,396.0,33,Andhra Pradesh,66
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1402,RAJDHANI (A.C. Semi Sleeper),14:40,04h 50m,19:30,2.8,533.0,34,Andhra Pradesh,67
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40562,Super Luxury (Non AC Seater 2+2 Push Back),14:50,06h 10m,21:00,3.6,396.0,33,Andhra Pradesh,68
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30162,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),15:00,06h 00m,21:00,3.9,533.0,40,Andhra Pradesh,69
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40110,Super Luxury (Non AC Seater 2+2 Push Back),15:10,06h 10m,21:20,4.1,396.0,33,Andhra Pradesh,70
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40310,Super Luxury (Non AC Seater 2+2 Push Back),15:30,06h 10m,21:40,3.6,396.0,33,Andhra Pradesh,71
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1102,RAJDHANI (A.C. Semi Sleeper),15:40,06h 00m,21:40,2.8,533.0,37,Andhra Pradesh,72
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40531,Super Luxury (Non AC Seater 2+2 Push Back),15:50,05h 00m,20:50,3.9,396.0,33,Andhra Pradesh,73
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 12962,eGARUDA,16:00,06h 10m,22:10,3.8,533.0,35,Andhra Pradesh,74
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40762,Super Luxury (Non AC Seater 2+2 Push Back),16:10,06h 10m,22:20,2.7,396.0,33,Andhra Pradesh,75
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30362,RAJDHANI (A.C. Semi Sleeper),16:20,05h 40m,22:00,2.7,480.0,35,Andhra Pradesh,76
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40510,Super Luxury (Non AC Seater 2+2 Push Back),16:30,06h 10m,22:40,3.7,396.0,33,Andhra Pradesh,77
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1344,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),16:40,05h 55m,22:35,3.0,533.0,41,Andhra Pradesh,78
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40130,Super Luxury (Non AC Seater 2+2 Push Back),16:50,04h 50m,21:40,2.9,396.0,33,Andhra Pradesh,79
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 12162,eGARUDA,17:00,06h 10m,23:10,3.4,533.0,35,Andhra Pradesh,80
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40731,Super Luxury (Non AC Seater 2+2 Push Back),17:10,04h 40m,21:50,4.2,396.0,33,Andhra Pradesh,81
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30562,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),17:20,05h 40m,23:00,3.7,533.0,41,Andhra Pradesh,82
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40710,Super Luxury (Non AC Seater 2+2 Push Back),17:30,06h 10m,23:40,3.7,396.0,33,Andhra Pradesh,83
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 4080,RAJDHANI (A.C. Semi Sleeper),17:40,05h 40m,23:20,2.3,480.0,37,Andhra Pradesh,84
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40962,Super Luxury (Non AC Seater 2+2 Push Back),17:50,04h 50m,22:40,3.7,396.0,32,Andhra Pradesh,85
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1412,RAJDHANI (A.C. Semi Sleeper),18:00,05h 40m,23:40,2.8,480.0,37,Andhra Pradesh,86
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7663,Super Luxury (Non AC Seater 2+2 Push Back),18:05,04h 50m,22:55,4.2,396.0,33,Andhra Pradesh,87
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40931,Super Luxury (Non AC Seater 2+2 Push Back),18:10,04h 50m,23:00,2.3,396.0,33,Andhra Pradesh,88
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30762,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),18:20,04h 30m,22:50,3.7,533.0,37,Andhra Pradesh,89
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7772,Super Luxury (Non AC Seater 2+2 Push Back),18:30,05h 45m,00:15,3.4,352.0,31,Andhra Pradesh,90
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),05:00,07h 05m,12:05,4.7,450.0,30,Andhra Pradesh,91
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),21:30,06h 35m,04:05,4.6,450.0,22,Andhra Pradesh,92
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:25,06h 00m,05:25,4.6,450.0,21,Andhra Pradesh,93
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdSai Dasari Travels,Non A/C Seater / Sleeper (2+1),22:59,07h 11m,06:10,4.5,550.0,21,Andhra Pradesh,94
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,05h 40m,05:25,4.7,495.0,33,Andhra Pradesh,95
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),16:20,06h 55m,23:15,4.6,450.0,36,Andhra Pradesh,96
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,06h 50m,06:15,4.7,565.0,29,Andhra Pradesh,97
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:10,07h 20m,05:30,3.8,550.0,27,Andhra Pradesh,98
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,GMRK Tours and Travels,Bharat Benz A/C Sleeper (2+1),23:45,06h 15m,06:00,4.6,599.0,23,Andhra Pradesh,99
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:30,06h 50m,05:20,4.5,450.0,24,Andhra Pradesh,100
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,KPS Buses,A/C Sleeper (2+1),23:55,06h 05m,06:00,4.6,648.0,23,Andhra Pradesh,101
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,AC Sleeper (2+1),23:40,05h 30m,05:10,4.5,764.0,21,Andhra Pradesh,102
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),17:30,06h 45m,00:15,4.2,450.0,29,Andhra Pradesh,103
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Yolo Bus,A/C Seater / Sleeper (2+1),23:21,06h 50m,06:11,4.6,630.0,23,Andhra Pradesh,104
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:25,05h 52m,05:17,4.5,674.0,32,Andhra Pradesh,105
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),12:30,05h 10m,17:40,4.5,450.0,35,Andhra Pradesh,106
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),11:10,07h 00m,18:10,4.4,500.0,41,Andhra Pradesh,107
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),16:00,06h 10m,22:10,4.5,404.0,29,Andhra Pradesh,108
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Durga Malleswari Travels,A/C Sleeper (2+1),22:30,07h 15m,05:45,4.6,740.0,12,Andhra Pradesh,109
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:00,06h 45m,05:45,4.4,539.0,29,Andhra Pradesh,110
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,05h 10m,05:00,4.4,572.0,20,Andhra Pradesh,111
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),06:30,06h 00m,12:30,4.4,404.0,30,Andhra Pradesh,112
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:45,05h 50m,05:35,4.3,809.0,26,Andhra Pradesh,113
