Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability,State
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9945,Super Luxury (Non AC Seater 2+2 Push Back),13:00,06h 10m,19:10,2.4,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 17162,eGARUDA,13:30,06h 20m,19:50,3.3,INR 533,34 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40331,Super Luxury (Non AC Seater 2+2 Push Back),13:40,04h 50m,18:30,2.6,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1600,RAJDHANI (A.C. Semi Sleeper),14:00,05h 40m,19:40,2.3,INR 480,36 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40362,Super Luxury (Non AC Seater 2+2 Push Back),14:20,06h 10m,20:30,3.5,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1402,RAJDHANI (A.C. Semi Sleeper),14:40,04h 50m,19:30,2.8,INR 533,34 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40562,Super Luxury (Non AC Seater 2+2 Push Back),14:50,06h 10m,21:00,3.6,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30162,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),15:00,06h 00m,21:00,3.9,INR 533,40 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40110,Super Luxury (Non AC Seater 2+2 Push Back),15:10,06h 10m,21:20,4.1,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40310,Super Luxury (Non AC Seater 2+2 Push Back),15:30,06h 10m,21:40,3.6,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1102,RAJDHANI (A.C. Semi Sleeper),15:40,06h 00m,21:40,2.8,INR 533,37 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40531,Super Luxury (Non AC Seater 2+2 Push Back),15:50,05h 00m,20:50,3.9,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 12962,eGARUDA,16:00,06h 10m,22:10,3.8,INR 533,35 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40762,Super Luxury (Non AC Seater 2+2 Push Back),16:10,06h 10m,22:20,2.7,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30362,RAJDHANI (A.C. Semi Sleeper),16:20,05h 40m,22:00,2.7,INR 480,35 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40510,Super Luxury (Non AC Seater 2+2 Push Back),16:30,06h 10m,22:40,3.7,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1344,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),16:40,05h 55m,22:35,3.0,INR 533,41 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40130,Super Luxury (Non AC Seater 2+2 Push Back),16:50,04h 50m,21:40,2.9,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 12162,eGARUDA,17:00,06h 10m,23:10,3.4,INR 533,35 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40731,Super Luxury (Non AC Seater 2+2 Push Back),17:10,04h 40m,21:50,4.2,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30562,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),17:20,05h 40m,23:00,3.7,INR 533,41 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40710,Super Luxury (Non AC Seater 2+2 Push Back),17:30,06h 10m,23:40,3.7,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 4080,RAJDHANI (A.C. Semi Sleeper),17:40,05h 40m,23:20,2.3,INR 480,37 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40962,Super Luxury (Non AC Seater 2+2 Push Back),17:50,04h 50m,22:40,3.7,INR 396,32 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1412,RAJDHANI (A.C. Semi Sleeper),18:00,05h 40m,23:40,2.8,INR 480,37 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7663,Super Luxury (Non AC Seater 2+2 Push Back),18:05,04h 50m,22:55,4.2,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40931,Super Luxury (Non AC Seater 2+2 Push Back),18:10,04h 50m,23:00,2.3,INR 396,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30762,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),18:20,04h 30m,22:50,3.7,INR 533,37 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7772,Super Luxury (Non AC Seater 2+2 Push Back),18:30,05h 45m,00:15,3.4,INR 352,31 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),05:00,07h 05m,12:05,4.7,450,30 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),21:30,06h 35m,04:05,4.6,450,22 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:25,06h 00m,05:25,4.6,450,21 Seats available,Andhra Pradesh
